Date,Chicago
2008-04,239167.0
2008-05,239500.0
2008-06,243667.0
2008-07,248333.0
2008-08,251667.0
2008-09,249167.0
2008-10,240833.0
2008-11,233083.0
2008-12,225583.0
2009-01,220583.0
2009-02,216000.0
2009-03,215333.0
2009-04,217000.0
2009-05,220000.0
2009-06,222333.0
2009-07,225167.0
2009-08,226417.0
2009-09,224083.0
2009-10,217917.0
2009-11,210667.0
2009-12,205633.0
2010-01,203967.0
2010-02,200967.0
2010-03,202667.0
2010-04,203363.0
2010-05,208363.0
2010-06,212363.0
2010-07,215000.0
2010-08,220000.0
2010-09,213333.0
2010-10,209083.0
2010-11,197400.0
2010-12,195733.0
2011-01,192650.0
2011-02,192333.0
2011-03,188483.0
2011-04,187483.0
2011-05,188817.0
2011-06,195000.0
2011-07,199333.0
2011-08,203333.0
2011-09,196000.0
2011-10,186040.0
2011-11,172707.0
2011-12,167707.0
2012-01,163333.0
2012-02,159167.0
2012-03,159167.0
2012-04,165833.0
2012-05,176667.0
2012-06,189000.0
2012-07,195667.0
2012-08,199000.0
2012-09,193333.0
2012-10,182667.0
2012-11,175667.0
2012-12,169833.0
2013-01,168833.0
2013-02,162483.0
2013-03,161650.0
2013-04,168317.0
2013-05,181667.0
2013-06,199000.0
2013-07,210667.0
2013-08,217000.0
2013-09,211333.0
2013-10,202000.0
2013-11,192333.0
2013-12,187333.0
2014-01,183333.0
2014-02,178833.0
2014-03,178500.0
2014-04,185167.0
2014-05,197850.0
2014-06,211933.0
2014-07,219267.0
2014-08,223417.0
2014-09,217542.0
2014-10,208542.0
2014-11,198542.0
2014-12,192333.0
2015-01,189000.0
2015-02,186000.0
2015-03,189333.0
2015-04,198000.0
2015-05,211000.0
2015-06,220333.0
2015-07,225000.0
2015-08,224333.0
2015-09,219000.0
2015-10,212000.0
2015-11,205333.0
2015-12,200292.0
2016-01,195625.0
2016-02,190958.0
2016-03,192583.0
2016-04,203333.0
2016-05,216667.0
2016-06,226500.0
2016-07,229083.0
2016-08,228250.0
2016-09,221167.0
2016-10,214167.0
2016-11,208333.0
2016-12,206667.0
2017-01,205000.0
2017-02,202925.0
2017-03,207925.0
2017-04,216592.0
2017-05,228333.0
2017-06,235667.0
2017-07,238333.0
2017-08,236667.0
2017-09,229600.0
2017-10,222583.0
2017-11,218083.0
2017-12,216150.0
2018-01,215500.0
2018-02,216000.0
2018-03,221000.0
2018-04,228333.0
2018-05,235667.0
2018-06,242000.0
2018-07,244167.0
2018-08,241833.0
2018-09,234500.0
2018-10,227333.0
2018-11,223000.0
2018-12,220667.0
2019-01,218750.0
2019-02,218750.0
2019-03,223083.0
2019-04,230333.0
2019-05,238667.0
2019-06,244333.0
2019-07,248000.0
2019-08,246333.0
2019-09,240167.0
2019-10,233833.0
2019-11,230500.0
2019-12,228667.0
2020-01,225333.0
2020-02,223667.0
2020-03,229000.0
2020-04,240833.0
2020-05,248500.0
2020-06,251167.0
2020-07,252633.0
2020-08,258967.0
2020-09,262300.0
2020-10,264000.0
2020-11,260667.0
2020-12,258900.0
2021-01,253900.0
2021-02,251233.0
2021-03,253333.0
2021-04,262033.0
2021-05,275033.0
2021-06,284700.0
2021-07,289000.0
2021-08,288833.0
2021-09,284917.0
2021-10,280250.0
2021-11,276083.0
2021-12,273333.0
2022-01,271333.0
2022-02,269667.0
2022-03,273000.0
2022-04,283333.0
2022-05,295167.0
2022-06,306833.0
2022-07,310167.0
2022-08,308333.0
2022-09,298333.0
2022-10,288333.0
2022-11,281333.0
2022-12,278000.0
2023-01,274667.0
2023-02,271667.0
2023-03,276333.0
2023-04,288000.0
