Date,Houston
2008-04,143000.0
2008-05,145167.0
2008-06,148500.0
2008-07,152167.0
2008-08,153500.0
2008-09,152467.0
2008-10,146467.0
2008-11,138633.0
2008-12,131333.0
2009-01,127650.0
2009-02,126750.0
2009-03,130250.0
2009-04,136100.0
2009-05,143315.0
2009-06,149648.0
2009-07,155148.0
2009-08,157400.0
2009-09,155233.0
2009-10,150200.0
2009-11,145967.0
2009-12,142292.0
2010-01,140275.0
2010-02,138275.0
2010-03,140117.0
2010-04,143467.0
2010-05,146433.0
2010-06,148600.0
2010-07,149967.0
2010-08,151333.0
2010-09,149000.0
2010-10,145500.0
2010-11,143067.0
2010-12,144733.0
2011-01,142233.0
2011-02,140833.0
2011-03,139167.0
2011-04,141083.0
2011-05,144083.0
2011-06,147417.0
2011-07,150833.0
2011-08,152000.0
2011-09,148683.0
2011-10,146183.0
2011-11,143517.0
2011-12,144167.0
2012-01,140500.0
2012-02,136517.0
2012-03,135850.0
2012-04,143317.0
2012-05,151967.0
2012-06,158633.0
2012-07,160667.0
2012-08,159667.0
2012-09,155167.0
2012-10,152500.0
2012-11,152833.0
2012-12,154000.0
2013-01,151500.0
2013-02,148833.0
2013-03,150500.0
2013-04,158167.0
2013-05,166500.0
2013-06,173167.0
2013-07,177300.0
2013-08,178300.0
2013-09,176467.0
2013-10,172083.0
2013-11,169083.0
2013-12,167550.0
2014-01,166133.0
2014-02,166967.0
2014-03,167000.0
2014-04,172000.0
2014-05,175833.0
2014-06,181833.0
2014-07,185500.0
2014-08,190500.0
2014-09,189500.0
2014-10,186667.0
2014-11,181667.0
2014-12,182500.0
2015-01,182500.0
2015-02,182833.0
2015-03,183667.0
2015-04,187500.0
2015-05,195167.0
2015-06,201167.0
2015-07,205667.0
2015-08,204500.0
2015-09,199043.0
2015-10,193710.0
2015-11,187877.0
2015-12,188300.0
2016-01,187300.0
2016-02,188633.0
2016-03,189138.0
2016-04,193804.0
2016-05,201471.0
2016-06,208333.0
2016-07,213500.0
2016-08,213460.0
2016-09,210127.0
2016-10,204960.0
2016-11,203333.0
2016-12,203833.0
2017-01,202833.0
2017-02,201167.0
2017-03,203167.0
2017-04,209149.0
2017-05,215816.0
2017-06,219983.0
2017-07,221667.0
2017-08,220567.0
2017-09,218152.0
2017-10,214902.0
2017-11,212669.0
2017-12,210083.0
2018-01,208233.0
2018-02,208567.0
2018-03,210983.0
2018-04,218383.0
2018-05,224717.0
2018-06,229167.0
2018-07,230200.0
2018-08,228533.0
2018-09,224967.0
2018-10,221567.0
2018-11,219233.0
2018-12,219871.0
2019-01,217271.0
2019-02,217104.0
2019-03,218833.0
2019-04,224833.0
2019-05,232067.0
2019-06,237100.0
2019-07,239767.0
2019-08,238367.0
2019-09,234300.0
2019-10,229967.0
2019-11,228300.0
2019-12,229877.0
2020-01,229210.0
2020-02,229210.0
2020-03,229333.0
2020-04,234967.0
2020-05,236633.0
2020-06,241630.0
2020-07,248330.0
2020-08,256630.0
2020-09,258300.0
2020-10,257467.0
2020-11,257500.0
2020-12,260500.0
2021-01,259083.0
2021-02,260750.0
2021-03,267417.0
2021-04,279000.0
2021-05,290667.0
2021-06,299333.0
2021-07,303667.0
2021-08,303667.0
2021-09,298633.0
2021-10,296633.0
2021-11,298300.0
2021-12,302500.0
2022-01,304133.0
2022-02,307467.0
2022-03,311633.0
2022-04,322333.0
2022-05,333325.0
2022-06,342160.0
2022-07,344827.0
2022-08,338502.0
2022-09,331333.0
2022-10,322000.0
2022-11,316000.0
2022-12,310050.0
2023-01,305950.0
2023-02,305283.0
2023-03,307900.0
2023-04,315167.0
