Date,Los Angeles
2008-04,499583.0
2008-05,495250.0
2008-06,490833.0
2008-07,480833.0
2008-08,467500.0
2008-09,452000.0
2008-10,440000.0
2008-11,425000.0
2008-12,416333.0
2009-01,400333.0
2009-02,399500.0
2009-03,394500.0
2009-04,395833.0
2009-05,397000.0
2009-06,405150.0
2009-07,412650.0
2009-08,412317.0
2009-09,411167.0
2009-10,407000.0
2009-11,405333.0
2009-12,398333.0
2010-01,395000.0
2010-02,388333.0
2010-03,388333.0
2010-04,388333.0
2010-05,396667.0
2010-06,396667.0
2010-07,400000.0
2010-08,396667.0
2010-09,398333.0
2010-10,391667.0
2010-11,389667.0
2010-12,384667.0
2011-01,381333.0
2011-02,375000.0
2011-03,375000.0
2011-04,378667.0
2011-05,383333.0
2011-06,385000.0
2011-07,388000.0
2011-08,385000.0
2011-09,381667.0
2011-10,371667.0
2011-11,366667.0
2011-12,358333.0
2012-01,353333.0
2012-02,350000.0
2012-03,353333.0
2012-04,364333.0
2012-05,373667.0
2012-06,380250.0
2012-07,384250.0
2012-08,387750.0
2012-09,388167.0
2012-10,387083.0
2012-11,387583.0
2012-12,393917.0
2013-01,395000.0
2013-02,398333.0
2013-03,407000.0
2013-04,430333.0
2013-05,450333.0
2013-06,465000.0
2013-07,468583.0
2013-08,471250.0
2013-09,468583.0
2013-10,465000.0
2013-11,462000.0
2013-12,462667.0
2014-01,459333.0
2014-02,462833.0
2014-03,466500.0
2014-04,478167.0
2014-05,488333.0
2014-06,494667.0
2014-07,501333.0
2014-08,504333.0
2014-09,504333.0
2014-10,501000.0
2014-11,495000.0
2014-12,492000.0
2015-01,490333.0
2015-02,493333.0
2015-03,500000.0
2015-04,511000.0
2015-05,517667.0
2015-06,524333.0
2015-07,526000.0
2015-08,527833.0
2015-09,524167.0
2015-10,519000.0
2015-11,517167.0
2015-12,519167.0
2016-01,521667.0
2016-02,523333.0
2016-03,528000.0
2016-04,538000.0
2016-05,550333.0
2016-06,559000.0
2016-07,561000.0
2016-08,560333.0
2016-09,556333.0
2016-10,556000.0
2016-11,554333.0
2016-12,552667.0
2017-01,551000.0
2017-02,549333.0
2017-03,557417.0
2017-04,567417.0
2017-05,582417.0
2017-06,591667.0
2017-07,600000.0
2017-08,601667.0
2017-09,601667.0
2017-10,596667.0
2017-11,598333.0
2017-12,596667.0
2018-01,596667.0
2018-02,600000.0
2018-03,608500.0
2018-04,620167.0
2018-05,628500.0
2018-06,638000.0
2018-07,643000.0
2018-08,643000.0
2018-09,635000.0
2018-10,630000.0
2018-11,626333.0
2018-12,621333.0
2019-01,613000.0
2019-02,608333.0
2019-03,614667.0
2019-04,628000.0
2019-05,636333.0
2019-06,642667.0
2019-07,650000.0
2019-08,650667.0
2019-09,649667.0
2019-10,642333.0
2019-11,641667.0
2019-12,643167.0
2020-01,645833.0
2020-02,649167.0
2020-03,656000.0
2020-04,658333.0
2020-05,658333.0
2020-06,660000.0
2020-07,678000.0
2020-08,701333.0
2020-09,719667.0
2020-10,726667.0
2020-11,728333.0
2020-12,726667.0
2021-01,723333.0
2021-02,730000.0
2021-03,745000.0
2021-04,771667.0
2021-05,795000.0
2021-06,813333.0
2021-07,820000.0
2021-08,823333.0
2021-09,822167.0
2021-10,823000.0
2021-11,824000.0
2021-12,830833.0
2022-01,833167.0
2022-02,843167.0
2022-03,860833.0
2022-04,892333.0
2022-05,913000.0
2022-06,914667.0
2022-07,898333.0
2022-08,880917.0
2022-09,864250.0
2022-10,854250.0
2022-11,841667.0
2022-12,828333.0
2023-01,818333.0
2023-02,816667.0
2023-03,827583.0
2023-04,839250.0
