Date,Miami
2008-04,244333.0
2008-05,244000.0
2008-06,245667.0
2008-07,247333.0
2008-08,250000.0
2008-09,241633.0
2008-10,231600.0
2008-11,218267.0
2008-12,211800.0
2009-01,199667.0
2009-02,191333.0
2009-03,182833.0
2009-04,176667.0
2009-05,172333.0
2009-06,174000.0
2009-07,182333.0
2009-08,185000.0
2009-09,182500.0
2009-10,174167.0
2009-11,169500.0
2009-12,166500.0
2010-01,164833.0
2010-02,161167.0
2010-03,158000.0
2010-04,154667.0
2010-05,156850.0
2010-06,159183.0
2010-07,162517.0
2010-08,162333.0
2010-09,158667.0
2010-10,157000.0
2010-11,153842.0
2010-12,152075.0
2011-01,147700.0
2011-02,143858.0
2011-03,137292.0
2011-04,136667.0
2011-05,141000.0
2011-06,149333.0
2011-07,153033.0
2011-08,152033.0
2011-09,147867.0
2011-10,144167.0
2011-11,140833.0
2011-12,140833.0
2012-01,140067.0
2012-02,140067.0
2012-03,139233.0
2012-04,141683.0
2012-05,146683.0
2012-06,153683.0
2012-07,160333.0
2012-08,162000.0
2012-09,162333.0
2012-10,160667.0
2012-11,162300.0
2012-12,163733.0
2013-01,163733.0
2013-02,162100.0
2013-03,161667.0
2013-04,167000.0
2013-05,175333.0
2013-06,185500.0
2013-07,192500.0
2013-08,197500.0
2013-09,197333.0
2013-10,193667.0
2013-11,191667.0
2013-12,191667.0
2014-01,192333.0
2014-02,189333.0
2014-03,189333.0
2014-04,193000.0
2014-05,204333.0
2014-06,214333.0
2014-07,224000.0
2014-08,224333.0
2014-09,220500.0
2014-10,216167.0
2014-11,214500.0
2014-12,216667.0
2015-01,215000.0
2015-02,215000.0
2015-03,215000.0
2015-04,218667.0
2015-05,225050.0
2015-06,233050.0
2015-07,239350.0
2015-08,239633.0
2015-09,234967.0
2015-10,230000.0
2015-11,225000.0
2015-12,225000.0
2016-01,225000.0
2016-02,226667.0
2016-03,226667.0
2016-04,230000.0
2016-05,235000.0
2016-06,241667.0
2016-07,246333.0
2016-08,247167.0
2016-09,246167.0
2016-10,243167.0
2016-11,242333.0
2016-12,241667.0
2017-01,241667.0
2017-02,241667.0
2017-03,241733.0
2017-04,245100.0
2017-05,249767.0
2017-06,258033.0
2017-07,263000.0
2017-08,266667.0
2017-09,263333.0
2017-10,258333.0
2017-11,255000.0
2017-12,255000.0
2018-01,257467.0
2018-02,257467.0
2018-03,259133.0
2018-04,261167.0
2018-05,266167.0
2018-06,270833.0
2018-07,273000.0
2018-08,273000.0
2018-09,269000.0
2018-10,268667.0
2018-11,270167.0
2018-12,270500.0
2019-01,268833.0
2019-02,265667.0
2019-03,269333.0
2019-04,273000.0
2019-05,278000.0
2019-06,280667.0
2019-07,285667.0
2019-08,288167.0
2019-09,285833.0
2019-10,284167.0
2019-11,285000.0
2019-12,286667.0
2020-01,286667.0
2020-02,285000.0
2020-03,290000.0
2020-04,296667.0
2020-05,302333.0
2020-06,305667.0
2020-07,310667.0
2020-08,318333.0
2020-09,323333.0
2020-10,324333.0
2020-11,324333.0
2020-12,324333.0
2021-01,326633.0
2021-02,329967.0
2021-03,333300.0
2021-04,338333.0
2021-05,343333.0
2021-06,350000.0
2021-07,355000.0
2021-08,358333.0
2021-09,358333.0
2021-10,358333.0
2021-11,360000.0
2021-12,366667.0
2022-01,373233.0
2022-02,379900.0
2022-03,387900.0
2022-04,395000.0
2022-05,408267.0
2022-06,416933.0
2022-07,423933.0
2022-08,420667.0
2022-09,415667.0
2022-10,414667.0
2022-11,413000.0
2022-12,413000.0
2023-01,410000.0
2023-02,415000.0
2023-03,421667.0
2023-04,435000.0
