Date,Phoenix
2008-04,226300.0
2008-05,226000.0
2008-06,226000.0
2008-07,221967.0
2008-08,216633.0
2008-09,208300.0
2008-10,203333.0
2008-11,196667.0
2008-12,186633.0
2009-01,174967.0
2009-02,166633.0
2009-03,163333.0
2009-04,161667.0
2009-05,160635.0
2009-06,160635.0
2009-07,159302.0
2009-08,155333.0
2009-09,152000.0
2009-10,148218.0
2009-11,146551.0
2009-12,143218.0
2010-01,141333.0
2010-02,139667.0
2010-03,140333.0
2010-04,142300.0
2010-05,143967.0
2010-06,144133.0
2010-07,141500.0
2010-08,138000.0
2010-09,135500.0
2010-10,134833.0
2010-11,134500.0
2010-12,133133.0
2011-01,131467.0
2011-02,130300.0
2011-03,129667.0
2011-04,129617.0
2011-05,127783.0
2011-06,126450.0
2011-07,123958.0
2011-08,122792.0
2011-09,121125.0
2011-10,119800.0
2011-11,121100.0
2011-12,122767.0
2012-01,125533.0
2012-02,127142.0
2012-03,131475.0
2012-04,137575.0
2012-05,145667.0
2012-06,151333.0
2012-07,153833.0
2012-08,154500.0
2012-09,154833.0
2012-10,157300.0
2012-11,160300.0
2012-12,162467.0
2013-01,162833.0
2013-02,163800.0
2013-03,167967.0
2013-04,174267.0
2013-05,179967.0
2013-06,184933.0
2013-07,188300.0
2013-08,188300.0
2013-09,187333.0
2013-10,187300.0
2013-11,188300.0
2013-12,189967.0
2014-01,189333.0
2014-02,189333.0
2014-03,190000.0
2014-04,192333.0
2014-05,195333.0
2014-06,197333.0
2014-07,198333.0
2014-08,199333.0
2014-09,197667.0
2014-10,196667.0
2014-11,194333.0
2014-12,196000.0
2015-01,197333.0
2015-02,199667.0
2015-03,201333.0
2015-04,203583.0
2015-05,208583.0
2015-06,211917.0
2015-07,214967.0
2015-08,213967.0
2015-09,213967.0
2015-10,214000.0
2015-11,214333.0
2015-12,216000.0
2016-01,216000.0
2016-02,217000.0
2016-03,216967.0
2016-04,220300.0
2016-05,224933.0
2016-06,228300.0
2016-07,228317.0
2016-08,228350.0
2016-09,229017.0
2016-10,230667.0
2016-11,230667.0
2016-12,230000.0
2017-01,229967.0
2017-02,230133.0
2017-03,231800.0
2017-04,233500.0
2017-05,237667.0
2017-06,241667.0
2017-07,244667.0
2017-08,245333.0
2017-09,244667.0
2017-10,245333.0
2017-11,246667.0
2017-12,248167.0
2018-01,249500.0
2018-02,252500.0
2018-03,255000.0
2018-04,257500.0
2018-05,259833.0
2018-06,264167.0
2018-07,267833.0
2018-08,268000.0
2018-09,266333.0
2018-10,265167.0
2018-11,265333.0
2018-12,266167.0
2019-01,266167.0
2019-02,266500.0
2019-03,267333.0
2019-04,270333.0
2019-05,274667.0
2019-06,278333.0
2019-07,281000.0
2019-08,282333.0
2019-09,283667.0
2019-10,285833.0
2019-11,286675.0
2019-12,288342.0
2020-01,290508.0
2020-02,295000.0
2020-03,300500.0
2020-04,302167.0
2020-05,302167.0
2020-06,303333.0
2020-07,309500.0
2020-08,317833.0
2020-09,324333.0
2020-10,329833.0
2020-11,332833.0
2020-12,334667.0
2021-01,338000.0
2021-02,345000.0
2021-03,355000.0
2021-04,365333.0
2021-05,378667.0
2021-06,390333.0
2021-07,401432.0
2021-08,408099.0
2021-09,414765.0
2021-10,420333.0
2021-11,425000.0
2021-12,428333.0
2022-01,433000.0
2022-02,441350.0
2022-03,454683.0
2022-04,467350.0
2022-05,480252.0
2022-06,487369.0
2022-07,484702.0
2022-08,473450.0
2022-09,459633.0
2022-10,452847.0
2022-11,443180.0
2022-12,432463.0
2023-01,422583.0
2023-02,420083.0
2023-03,424167.0
2023-04,428500.0
