Date,Seattle
2008-04,333833.0
2008-05,334483.0
2008-06,336150.0
2008-07,334817.0
2008-08,332483.0
2008-09,326400.0
2008-10,321900.0
2008-11,312831.0
2008-12,310581.0
2009-01,310914.0
2009-02,312667.0
2009-03,309317.0
2009-04,302650.0
2009-05,301817.0
2009-06,306833.0
2009-07,309683.0
2009-08,307850.0
2009-09,303850.0
2009-10,300983.0
2009-11,298317.0
2009-12,299077.0
2010-01,299170.0
2010-02,303078.0
2010-03,304451.0
2010-04,305041.0
2010-05,308596.0
2010-06,305463.0
2010-07,313130.0
2010-08,313100.0
2010-09,313100.0
2010-10,302850.0
2010-11,296417.0
2010-12,298083.0
2011-01,293333.0
2011-02,291665.0
2011-03,289982.0
2011-04,296315.0
2011-05,296317.0
2011-06,296000.0
2011-07,290167.0
2011-08,286833.0
2011-09,276167.0
2011-10,267333.0
2011-11,260650.0
2011-12,256727.0
2012-01,250273.0
2012-02,246957.0
2012-03,248640.0
2012-04,266260.0
2012-05,279593.0
2012-06,292167.0
2012-07,294333.0
2012-08,291000.0
2012-09,286667.0
2012-10,282300.0
2012-11,282300.0
2012-12,278798.0
2013-01,268165.0
2013-02,267203.0
2013-03,272038.0
2013-04,288790.0
2013-05,303178.0
2013-06,312512.0
2013-07,322427.0
2013-08,322333.0
2013-09,321380.0
2013-10,314713.0
2013-11,308955.0
2013-12,304242.0
2014-01,297148.0
2014-02,294890.0
2014-03,294890.0
2014-04,305283.0
2014-05,312800.0
2014-06,323792.0
2014-07,327158.0
2014-08,329325.0
2014-09,324500.0
2014-10,320167.0
2014-11,318483.0
2014-12,315983.0
2015-01,314317.0
2015-02,311333.0
2015-03,317667.0
2015-04,327000.0
2015-05,339906.0
2015-06,349906.0
2015-07,351573.0
2015-08,351667.0
2015-09,345867.0
2015-10,344716.0
2015-11,340289.0
2015-12,339089.0
2016-01,334240.0
2016-02,331983.0
2016-03,335548.0
2016-04,346548.0
2016-05,361565.0
2016-06,371667.0
2016-07,378313.0
2016-08,379786.0
2016-09,374786.0
2016-10,371473.0
2016-11,370667.0
2016-12,370095.0
2017-01,363428.0
2017-02,357761.0
2017-03,361667.0
2017-04,380000.0
2017-05,398333.0
2017-06,416573.0
2017-07,422685.0
2017-08,423471.0
2017-09,420231.0
2017-10,417453.0
2017-11,419000.0
2017-12,417333.0
2018-01,412323.0
2018-02,414990.0
2018-03,426657.0
2018-04,451000.0
2018-05,461000.0
2018-06,465906.0
2018-07,459906.0
2018-08,453979.0
2018-09,443979.0
2018-10,435644.0
2018-11,430025.0
2018-12,426785.0
2019-01,421787.0
2019-02,426667.0
2019-03,436833.0
2019-04,453500.0
2019-05,468500.0
2019-06,475000.0
2019-07,476333.0
2019-08,471000.0
2019-09,465983.0
2019-10,463817.0
2019-11,460817.0
2019-12,464150.0
2020-01,459983.0
2020-02,464983.0
2020-03,473336.0
2020-04,491670.0
2020-05,498136.0
2020-06,508133.0
2020-07,516467.0
2020-08,531667.0
2020-09,540750.0
2020-10,545750.0
2020-11,547417.0
2020-12,539000.0
2021-01,533333.0
2021-02,535000.0
2021-03,559317.0
2021-04,589983.0
2021-05,623317.0
2021-06,640000.0
2021-07,650000.0
2021-08,645617.0
2021-09,637283.0
2021-10,632283.0
2021-11,630000.0
2021-12,630000.0
2022-01,617333.0
2022-02,624185.0
2022-03,651518.0
2022-04,699185.0
2022-05,732333.0
2022-06,736667.0
2022-07,716667.0
2022-08,688333.0
2022-09,668333.0
2022-10,663667.0
2022-11,652000.0
2022-12,637000.0
2023-01,618333.0
2023-02,611833.0
2023-03,619983.0
2023-04,636650.0
